source_id,paper_title,final_status,extraction_readiness,local_relpath,current_folder,notebook_present,local_present,local_file_exists,expected_folder_group,folder_status,local_presence_status
dde2eb4e-630f-4dd2-a809-c749772d9523,"Oren et al. - 1998 - Prudent sessile feeding by the corallivore snail, Coralliophila violacea on coral energy sinks.pdf",include_mechanism_only,not_for_extraction,"literature/MECHANISMS_ONLY/Oren et al. - 1998 - Prudent sessile feeding by the corallivore snail, Coralliophila violacea on coral energy sinks.pdf",MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
d7f996dc-c00b-423c-b424-965cd78f9d1b,Page and Willis - 2008 - Epidemiology of skeletal eroding band on the Great Barrier Reef and the role of injury in the initia.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Page and Willis - 2008 - Epidemiology of skeletal eroding band on the Great Barrier Reef and the role of injury in the initia.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
,Palacio-Castro et al. - 2023 - Increased dominance of heat-tolerant symbionts cre.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Palacio-Castro et al. - 2023 - Increased dominance of heat-tolerant symbionts cre.pdf,EXCLUDED_FINAL,0,1,1,EXCLUDED_FINAL,ok,ok
3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
2e735d26-55d4-4833-a8a9-56496e2d0d3c,Palmer et al. - 2011 - Corals Use Similar Immune Cells and Wound-Healing Processes as Those of Higher Organisms.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Palmer et al. - 2011 - Corals Use Similar Immune Cells and Wound-Healing Processes as Those of Higher Organisms.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
b2fc2ce3-e11e-4453-a3be-0df3d15d5454,Paradis et al. - 2019 - Compound effects of thermal stress and tissue abrasion on photosynthesis and respiration in the reef.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Paradis et al. - 2019 - Compound effects of thermal stress and tissue abrasion on photosynthesis and respiration in the reef.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
2eab453f-4b4d-4f55-9502-32cb410dbaad,Pavia Jr and Estacion - 2019 - Survival and Growth of Isolated Polyps of Galaxea fascicularis (Linnaeus 1767) on Six Kinds of Cultu.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Pavia Jr and Estacion - 2019 - Survival and Growth of Isolated Polyps of Galaxea fascicularis (Linnaeus 1767) on Six Kinds of Cultu.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
6f750c49-3261-482c-ade2-373835f7cf40,Paz-García - 2006 - Temporal variation in the regeneration rate of artificial lesions in two morphotypes of Porites pana.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Paz-García - 2006 - Temporal variation in the regeneration rate of artificial lesions in two morphotypes of Porites pana.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
df211e9f-33ed-4631-b952-6d5cf48724c8,Pisapia et al. - 2016 - Temporal consistency in background mortality of four dominant coral taxa along Australia’s Great Bar.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Pisapia et al. - 2016 - Temporal consistency in background mortality of four dominant coral taxa along Australia’s Great Bar.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
