source_id,title,type,url,normalized_title,in_screening_final,in_primary_covariates,in_all_source_covariates,in_all_response_source_index,in_rate_source_index,in_extraction_workplan,in_digitization_queue,in_any_source_table,dataset_table_count
c6b2ff5b-0225-4b9a-92e7-8dfa6a6debeb,Enochs_2017_Corallivory_in_the_Eastern_Pacific_doi-10.1007-978-94-017-7499-4_10.pdf,pdf,,enochs2017corallivoryintheeasternpacificdoi101007978940177499410pdf,1,0,1,0,0,0,0,1,7
62810355-f1de-400d-9b67-0eb8b288d636,Estrada-Saldívar_2020_Reefscaleimpactsofthestonycoralti.pdf,pdf,,estradasaldivar2020reefscaleimpactsofthestonycoraltipdf,0,0,0,0,0,0,0,0,0
a7e2a67a-bfe1-417f-9f04-adff1dba48e7,Ezzat_2015_Newinsightsintocarbonacquisitionand.pdf,pdf,,ezzat2015newinsightsintocarbonacquisitionandpdf,0,0,0,0,0,0,0,0,0
7b941d8e-71d4-46a0-aecb-e18bbcd444b4,Ezzat_2019_Nutrientstarvationimpairsthetrophic.pdf,pdf,,ezzat2019nutrientstarvationimpairsthetrophicpdf,0,0,0,0,0,0,0,0,0
97c3dfdd-9805-41ef-ae43-ab1d0d8df0f4,Fabricius_2010_Threelinesofevidencetolinkoutbreak.pdf,pdf,,fabricius2010threelinesofevidencetolinkoutbreakpdf,0,0,0,0,0,0,0,0,0
d8e4314d-6771-4c36-ad40-36bd8f03cdf3,Fijan_2019_PMC6930797.pdf,pdf,,fijan2019pmc6930797pdf,0,0,0,0,0,0,0,0,0
ad751939-b061-4323-9097-c1e7d2e9576f,Fine_2002_Bleaching_effect_on_regeneration_and_resource_translocation..._doi-10.3354-meps234119.pdf,pdf,,fine2002bleachingeffectonregenerationandresourcetranslocationdoi103354meps234119pdf,1,1,1,1,1,1,1,1,32
a1e7fabd-36e1-4556-804c-e6f1a9c17581,Fisher_2007_Lesion_regeneration_rates_in_reef-building_corals_Montastra..._doi-10.3354-meps339061.pdf,pdf,,fisher2007lesionregenerationratesinreefbuildingcoralsmontastradoi103354meps339061pdf,1,1,1,1,1,1,0,1,26
3a3fb59c-a303-49f1-aa80-21ffe7d182cf,Fong_1995_Hurricanes_Cause_Population_Expansion_of_the_Branchin..._doi-10.1111-j.1439-0485.1995.tb00415.x.pdf,pdf,,fong1995hurricanescausepopulationexpansionofthebranchindoi101111j143904851995tb00415xpdf,1,1,1,1,1,1,0,1,26
0405a331-372f-4038-954d-d4198f47c221,Forrester_2020_Theinfluenceofboatmooringsonanchor.pdf,pdf,,forrester2020theinfluenceofboatmooringsonanchorpdf,0,0,0,0,0,0,0,0,0
d1c095ae-0175-4230-ac6e-e27e88efd04a,Fox_2006_Recoveryfromblastfishingoncoralree.pdf,pdf,,fox2006recoveryfromblastfishingoncoralreepdf,0,0,0,0,0,0,0,0,0
