source_id,paper_title,local_relpath,pdf_read_status,pdf_page_count,pdf_bytes,pdf_sha256,text_path,text_chars,text_sha256,title_token_overlap_page_start,read_error
33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,literature/META_ANALYSIS_POOL/Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,read_cached,7,1019099,d7fbcfa97e20aa6b12eb3662d11895aa206407666f8c00e658d78dfb3a8504fb,data/extraction/all_responses/pdf_text/33b7b9b2-9041-454b-bba3-abfadd68029f.txt,58924,06915e9c23f23da9f7954054c253f1ccafa2228a742f57a00d9a4c3afd67e9d9,10/10,
33d2bc0d-ec51-4225-a216-bf74b34fa89d,Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,literature/META_ANALYSIS_POOL/Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,read_cached,9,766555,932e0a6690f365518366b305e38bfe609e7428b124c0fd25adad85402fa4ade5,data/extraction/all_responses/pdf_text/33d2bc0d-ec51-4225-a216-bf74b34fa89d.txt,48337,347cc9d3bd360b599dbedf6d2c91c4fbe8c96e74447bc41e5430015564050be7,10/10,
347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,literature/META_ANALYSIS_POOL/Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,read_cached,11,1199884,a6a9757e96b9cea6c5d5eb57f2cca16e2a4fdf4bf18204e109cdd88da27017ad,data/extraction/all_responses/pdf_text/347f789a-ef73-4089-aa77-0e46f2b2d196.txt,66107,8a7c3c6f895e91094e0aecff2df6270978df6d844afacb89765672e7c53e2de6,13/14,
348d7203-b68d-472c-89da-e3e6704b2f50,Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,literature/META_ANALYSIS_POOL/Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,read_cached,7,918470,26c91bb66d015b5770d3ab3022d73cda7d3db8ab5c3430b4b3a25b3a9477b8c5,data/extraction/all_responses/pdf_text/348d7203-b68d-472c-89da-e3e6704b2f50.txt,34306,55c141a004792016fc84a8f8c3e6991395906b20a8c52f99bae934737bee47e0,9/9,
3764e810-0eb0-4d34-baca-2c5136c95bc8,"Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",read_cached,7,696399,669e15488dc40dda5e3204cdb584263b5867ee29451a7948873cfd63a360b461,data/extraction/all_responses/pdf_text/3764e810-0eb0-4d34-baca-2c5136c95bc8.txt,41726,5b4f0fdbfcd72d4bd6a1600d86c895bd3fd5835946e01bf07391aed417555c58,12/12,
398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,literature/META_ANALYSIS_POOL/Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,read_cached,15,914889,25e641b59a412c6d61d393ba39e1909815c61430f71bf350921a14dfc9c3cf27,data/extraction/all_responses/pdf_text/398d01aa-1e0e-4c46-9989-8490ca8748d5.txt,65048,5b526ef1aa24d29ea3a91772ed4d604b9d56f9ed3f1d1c622f0676574c70406d,13/13,
3a3fb59c-a303-49f1-aa80-21ffe7d182cf,Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,literature/META_ANALYSIS_POOL/Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,read_cached,19,2717191,6aa9d76b2f121e346001e0e721fd06d2df3e59ef2aabb6b05be43c30f59547d5,data/extraction/all_responses/pdf_text/3a3fb59c-a303-49f1-aa80-21ffe7d182cf.txt,71684,4bc321567ad452b1d590ccf24e6f401518858318c5ff04bf9887afc681ee0275,12/12,
3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf","literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",read_cached,12,1666808,474a6c3544fd12e5255e73669a447dbedbb18336fefe123b3c28cc4bd7cd4f28,data/extraction/all_responses/pdf_text/3d374a40-79d3-413b-99c2-670f9da97bef.txt,95228,7e65b16b532784cbb3dccf90c3b25dda0e9a125cd73015a9a3956528b2e0fa44,12/13,
3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,literature/META_ANALYSIS_POOL/Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,read_cached,12,1219446,7beb1f8574bc1534dd79557e0d7dda3ac16b5663274ec2569e90eac48f4701de,data/extraction/all_responses/pdf_text/3f852e08-6b2f-488b-9351-0f78b2ba41a5.txt,72446,ae0d82568356dbfa9b9dd95dc70705e2a6712e0d0dbe33387ed67d8eb0bd7a38,10/10,
40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,read_cached,13,431263,985f5dbcb9c2d7c8a0c760926e96771a6ad6379a7410567ad53570ed10ff78b9,data/extraction/all_responses/pdf_text/40359446-8345-4a72-8169-af86ad3de9d6.txt,81084,b39825c2fb221422d12a66fdbd7d251351f75c2cc934e4da55a2bbea91c2e6c6,11/11,
45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,literature/META_ANALYSIS_POOL/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,read_cached,8,583563,bb579bc1efa13420851b1d71e23c52bb9c96f8f583b191c0ec8c86edd71c7e7b,data/extraction/all_responses/pdf_text/45fcfd8e-a2d2-4345-aec0-baeb03f883a4.txt,41412,1be8ca5c811404bea28b23b80a9301447fd7fc0af3c2851f1c7159dbc7641718,8/8,
4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,literature/META_ANALYSIS_POOL/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,read_cached,5,274728,1cb4dd2ba6245d09e80eba1e3db671a6436d9a0ee35b3a1ec0eb821e94e88b99,data/extraction/all_responses/pdf_text/4cc9b30b-9ed8-4123-82aa-2f182db391b7.txt,27572,e08b447d7956b27ca9ba18c38f6d9a6c43de511ab4c70d6f093b38d19fb4076b,10/10,
4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,Denis_2013_Fast_Growth_May_Impair_Regeneration_Capacity_in_th..._doi-10.1371-journal.pone.0072618.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2013 - Fast Growth May Impair Regeneration Capacity in the Branching Coral Acropora muricata.pdf,read_cached,7,655210,2c1233ab901648e1bee784cad2c3e1fe4208b57d7606a05adb1433135ce27757,data/extraction/all_responses/pdf_text/4d1dfa9c-9c0b-438d-bf33-ec928b7d6696.txt,51011,9a36d0b637e24c18be7e4cb9f9545f5c07f4c63fb8d9cbcfa88275be02b549c7,11/11,
58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf","literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",read_cached,12,824546,58520979c9369d64664a3122e4e3fca08234c28c2f83c18d1112b293d5074ebe,data/extraction/all_responses/pdf_text/58b15640-3061-4ea9-a606-877701eef38c.txt,84549,19474eb33005171d39d032c8379a90e7b8025a6fa55b5d8aaa7990707793b5e1,10/10,
