source_id,response_type,paper_title,local_relpath,priority_rank,extraction_readiness,existing_extraction_rows,analysis_ready_rows,blocking_extraction_rows,crop_proposals,crop_proposals_need_human_qa,concrete_digitized_data_files,pdf_text_candidate_rows,notebooklm_batch_id,notebooklm_validation_status,response_gate_status,next_action,blocking_summary
d48f4420-bee1-4bd3-95e6-7f646095131b,survival,Wesseling et al. - 2001 - Partial Mortality in Porites Corals Variation among Philippine Reefs.pdf,literature/META_ANALYSIS_POOL/Wesseling et al. - 2001 - Partial Mortality in Porites Corals Variation among Philippine Reefs.pdf,1,ready_extract,0,0,0,0,0,0,27,survival_01,completed,extract_from_pdf_text_or_table_candidates,Use PDF text candidates and NotebookLM validation to extract source-verified rows.,
dde85c3e-6c0d-4057-9a5a-116138865992,growth,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",2,needs_digitization,0,0,0,1,1,0,22,growth_01,completed,crop_proposals_need_human_qa_and_digitization,"Review proposed crop boxes, set panel labels, create final clips, digitize/transcribe data CSVs, then extract rows.",
dde85c3e-6c0d-4057-9a5a-116138865992,rate,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf","literature/META_ANALYSIS_POOL/Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",2,needs_digitization,1,0,1,2,2,0,22,rate_02,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=1 | qa_status_not_ready=1 | source_provenance_missing=1 | time_or_duration_missing=1 | variance_missing=1
12e9e864-5ff1-42c4-a63d-19b5d62a7464,rate,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,2,needs_digitization,0,0,0,3,3,0,26,rate_02,completed,crop_proposals_need_human_qa_and_digitization,"Review proposed crop boxes, set panel labels, create final clips, digitize/transcribe data CSVs, then extract rows.",
12e9e864-5ff1-42c4-a63d-19b5d62a7464,survival,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,2,needs_digitization,1,0,1,0,0,0,26,survival_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=1 | qa_status_not_ready=1 | sample_size_missing=1 | source_provenance_missing=1
daec544d-cfab-46db-be2a-1d3596bc0395,growth,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,literature/META_ANALYSIS_POOL/Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,2,needs_digitization,0,0,0,1,1,0,64,growth_02,completed,crop_proposals_need_human_qa_and_digitization,"Review proposed crop boxes, set panel labels, create final clips, digitize/transcribe data CSVs, then extract rows.",
daec544d-cfab-46db-be2a-1d3596bc0395,rate,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,literature/META_ANALYSIS_POOL/Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,2,needs_digitization,0,0,0,1,1,0,64,rate_03,completed,crop_proposals_need_human_qa_and_digitization,"Review proposed crop boxes, set panel labels, create final clips, digitize/transcribe data CSVs, then extract rows.",
9f7a74ab-485d-44be-88c3-28c6b4a7c491,rate,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,2,needs_digitization,0,0,0,1,1,0,28,rate_03,completed,crop_proposals_need_human_qa_and_digitization,"Review proposed crop boxes, set panel labels, create final clips, digitize/transcribe data CSVs, then extract rows.",
9f7a74ab-485d-44be-88c3-28c6b4a7c491,survival,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,2,needs_digitization,0,0,0,1,1,0,28,survival_01,completed,crop_proposals_need_human_qa_and_digitization,"Review proposed crop boxes, set panel labels, create final clips, digitize/transcribe data CSVs, then extract rows.",
d4f87f68-6209-4973-bf99-fac310af5656,growth,Coral-Damsel-Wounding-Manuscript.pdf,literature/META_ANALYSIS_POOL/Coral-Damsel-Wounding-Manuscript.pdf,2,needs_digitization,0,0,0,1,1,0,39,growth_02,completed,crop_proposals_need_human_qa_and_digitization,"Review proposed crop boxes, set panel labels, create final clips, digitize/transcribe data CSVs, then extract rows.",
